dx_telkom_wfh_stg1_postgre.reg,dx_telkom_wfh_stg1_postgre.jam,dx_telkom_wfh_stg1_postgre.sum_countd_device,dx_telkom_wfh_stg1_postgre.wfh_date,dx_telkom_wfh_stg1_postgre.sum_act_sec,dx_telkom_wfh_stg1_postgre.sum_usage
1,0,196,30,2733780,16720146144
1,1,183,30,2334460,9552786616
1,2,163,30,1910890,4866442233
1,3,162,30,1763900,6240035576
1,4,159,30,1699880,6093264363
1,5,170,30,1842410,3802953872
1,6,193,30,2230620,6709707195
1,7,212,30,2679930,10891958453
1,8,240,30,3282960,15310625482
1,9,252,30,3565100,17050762271
1,10,233,30,3583650,16822625259
1,11,229,30,3814710,16473529274
1,12,245,30,3893430,23670217449
1,13,246,30,4073350,17519221801
1,14,237,30,4053550,21888671919
1,15,231,30,3895930,22090192385
1,16,195,30,1736430,8133762398
1,17,214,30,3422410,14011805416
1,18,227,30,3401810,13790459445
1,19,242,30,3779570,18544630791
1,20,245,30,4280780,24264701534
1,21,253,30,4085970,29182154163
1,22,220,30,3439030,24651085883
1,23,204,30,2581380,13375258742
2,0,855,30,11959040,64114472898
2,1,781,30,9692390,44603209723
2,2,763,30,8547850,32431656489
2,3,771,30,7879930,30775265588
2,4,808,30,8235080,25080537709
2,5,908,30,10331570,31598087661
2,6,1043,30,12930610,49824370917
2,7,1115,30,15125110,55276444816
2,8,1081,30,18414520,74273431553
2,9,1081,30,19756490,80858625139
2,10,1097,30,20429860,93304542864
2,11,1066,30,20138100,99666792586
2,12,1080,30,19465440,86241509378
2,13,1109,30,20547490,88007973446
2,14,1109,30,21983790,1.02714E+11
2,15,1237,30,22303140,1.09307E+11
2,16,979,30,11353740,56324583582
2,17,1314,30,23418220,1.16735E+11
2,18,1291,30,21286080,92569269249
2,19,1210,30,22464390,1.13605E+11
2,20,1237,30,22944260,1.09969E+11
2,21,1162,30,21515760,1.13725E+11
2,22,1160,30,18787710,97042546558
2,23,991,30,15989860,83952681879
3,0,142,30,1982960,16483173250
3,1,125,30,1518920,10971954021
3,2,121,30,1353590,8165102878
3,3,119,30,1296640,7293564079
3,4,120,30,1332690,6369323684
3,5,140,30,1840620,9790860936
3,6,135,30,2045780,12461105451
3,7,141,30,2144400,11713302994
3,8,145,30,2528270,16700329946
3,9,147,30,2716350,18249752009
3,10,137,30,2616500,17320607073
3,11,131,30,2688600,19152972484
3,12,142,30,2845610,16460520269
3,13,153,30,2871410,19687121445
3,14,132,30,2542380,18497921220
3,15,144,30,2507320,16639595868
3,16,118,30,1457650,9079161447
3,17,146,30,2854700,17901928470
3,18,163,30,2755310,16864061651
3,19,170,30,3141840,25026836371
3,20,164,30,3456810,29441351387
3,21,155,30,3179910,28200019928
3,22,173,30,2960800,25810448039
3,23,149,30,2291000,18041756763
4,0,32,30,391470,2280881444
4,1,27,30,330400,2281582455
4,2,27,30,359030,1927287036
4,3,29,30,254570,520669167
4,4,31,30,275360,742115151
4,5,37,30,365260,952745440
4,6,39,30,575480,2233950552
4,7,33,30,459120,3220461585
4,8,31,30,441690,2805869714
4,9,28,30,459130,4087264611
4,10,28,30,506360,4032213720
4,11,28,30,417460,3432976894
4,12,17,30,382740,3440695057
4,13,20,30,354020,4064871572
4,14,18,30,344200,4283069157
4,15,18,30,362380,2753150392
4,16,17,30,139530,1292915499
4,17,20,30,198350,1744464086
4,18,23,30,387930,1781257371
4,19,30,30,441830,2263655416
4,20,30,30,514250,2769671933
4,21,21,30,402810,2564950513
4,22,22,30,355990,1477708684
4,23,24,30,263270,1270247330
5,0,424,30,4894190,24841153653
5,1,368,30,4179480,17358987187
5,2,387,30,3728580,13870935494
5,3,387,30,3526360,11107687232
5,4,430,30,4054350,12089203804
5,5,456,30,5345640,19707712418
5,6,462,30,5860590,24467890894
5,7,496,30,6713170,27148949165
5,8,513,30,7587240,32067389995
5,9,514,30,8116490,35884267919
5,10,504,30,8249110,35222431278
5,11,514,30,8181440,42361946192
5,12,496,30,8168810,42310626940
5,13,503,30,8303050,41100302268
5,14,486,30,8011240,40543233724
5,15,501,30,8105320,37950670178
5,16,438,30,4073930,20737749652
5,17,538,30,8278720,46024486681
5,18,528,30,8593610,41773481904
5,19,533,30,9085900,49383132196
5,20,539,30,9249780,46812415156
5,21,495,30,8556610,43801030962
5,22,469,30,7449560,38285204438
5,23,417,30,6045730,32707668795
6,0,33,30,436370,11553850555
6,1,25,30,368540,3647714485
6,2,31,30,336420,1505942384
6,3,28,30,305140,1913727884
6,4,34,30,355600,2291666428
6,5,34,30,476090,2681901793
6,6,34,30,509850,3165760574
6,7,41,30,495260,3153078781
6,8,36,30,487930,4128633261
6,9,30,30,521520,5047121736
6,10,33,30,605710,5075586676
6,11,33,30,585320,5513295342
6,12,34,30,567900,3602919386
6,13,35,30,547680,5791307142
6,14,31,30,508090,6444858400
6,15,26,30,467000,3965295035
6,16,23,30,223650,2733456620
6,17,25,30,456290,4401463923
6,18,20,30,388750,4053059782
6,19,25,30,412140,3549182810
6,20,29,30,528320,6481674799
6,21,24,30,451200,6317368327
6,22,28,30,391030,3640143049
6,23,21,30,343330,2971185102
7,0,46,30,559530,3270798318
7,1,39,30,463030,2548251038
7,2,36,30,313090,1199022649
7,3,41,30,334090,511705442
7,4,35,30,406160,2862005264
7,5,48,30,549160,2942468538
7,6,54,30,667270,5292235756
7,7,56,30,868970,6430697675
7,8,64,30,936370,8331477976
7,9,67,30,999320,8011218036
7,10,62,30,975110,6763536915
7,11,64,30,955410,4227050218
7,12,65,30,949740,5955062110
7,13,62,30,993440,6654334739
7,14,67,30,951750,5768502792
7,15,61,30,818110,4329342227
7,16,44,30,382530,1374858403
7,17,57,30,802910,4755996133
7,18,51,30,884070,3625245950
7,19,53,30,819740,3858047865
7,20,47,30,849930,2428949427
7,21,46,30,651970,2263915975
7,22,44,30,542640,2245064649
7,23,40,30,529940,1306929324
